id,flight,seg,family,vel,twr,ccw,n,vmax,comment
2021-02-03-13-43-38_seg_1,2021-02-03-13-43-38,1,wobbly_circle,0.5,,0,1008,1.296,"wobbly circle 4 parts, delta=0.3, vel=0.5"
2021-02-03-13-43-38_seg_2,2021-02-03-13-43-38,2,wobbly_circle,0.5,,0,2804,3.158,"wobbly circle 4 parts, delta=0.3, vel=0.5"
2021-02-03-13-43-38_seg_3,2021-02-03-13-43-38,3,wobbly_circle,0.5,,0,12412,3.823,"wobbly circle 4 parts, delta=0.3, vel=0.5"
2021-02-03-13-43-38_seg_4,2021-02-03-13-43-38,4,wobbly_circle,0.5,,0,1946,1.064,"wobbly circle 4 parts, delta=0.3, vel=0.5"
2021-02-03-13-44-49_seg_1,2021-02-03-13-44-49,1,wobbly_circle,0.75,,0,668,1.275,"wobbly circle 4 parts, delta=0.3, vel=0.75"
2021-02-03-13-44-49_seg_2,2021-02-03-13-44-49,2,wobbly_circle,0.75,,0,3215,3.165,"wobbly circle 4 parts, delta=0.3, vel=0.75"
2021-02-03-13-44-49_seg_3,2021-02-03-13-44-49,3,wobbly_circle,0.75,,0,12691,6.219,"wobbly circle 4 parts, delta=0.3, vel=0.75"
2021-02-03-13-44-49_seg_4,2021-02-03-13-44-49,4,wobbly_circle,0.75,,0,1346,1.078,"wobbly circle 4 parts, delta=0.3, vel=0.75"
2021-02-03-13-53-04_seg_1,2021-02-03-13-53-04,1,circle,2.0,,0,2078,2.371,"circle, vel=2.0"
2021-02-03-13-53-04_seg_2,2021-02-03-13-53-04,2,circle,2.0,,0,14397,8.813,"circle, vel=2.0"
2021-02-03-13-54-06_seg_1,2021-02-03-13-54-06,1,circle,2.5,,0,602,1.224,"circle, vel=2.5"
2021-02-03-13-54-06_seg_2,2021-02-03-13-54-06,2,circle,2.5,,0,2956,3.107,"circle, vel=2.5"
2021-02-03-13-54-06_seg_3,2021-02-03-13-54-06,3,circle,2.5,,0,12943,11.202,"circle, vel=2.5"
2021-02-03-13-54-06_seg_4,2021-02-03-13-54-06,4,circle,2.5,,0,1458,1.063,"circle, vel=2.5"
2021-02-03-16-10-37_seg_1,2021-02-03-16-10-37,1,oscillation_linear,2.0,,0,1025,1.243,"linear oscillation, vel=2.0"
2021-02-03-16-10-37_seg_2,2021-02-03-16-10-37,2,oscillation_linear,2.0,,0,2092,3.187,"linear oscillation, vel=2.0"
2021-02-03-16-10-37_seg_3,2021-02-03-16-10-37,3,oscillation_linear,2.0,,0,12873,12.292,"linear oscillation, vel=2.0"
2021-02-03-16-10-37_seg_4,2021-02-03-16-10-37,4,oscillation_linear,2.0,,0,1464,1.05,"linear oscillation, vel=2.0"
2021-02-03-16-12-22_seg_1,2021-02-03-16-12-22,1,oscillation_linear,2.25,,0,938,1.205,"linear oscillation, vel=2.25"
2021-02-03-16-12-22_seg_2,2021-02-03-16-12-22,2,oscillation_linear,2.25,,0,2231,3.123,"linear oscillation, vel=2.25"
2021-02-03-16-12-22_seg_3,2021-02-03-16-12-22,3,oscillation_linear,2.25,,0,12926,13.991,"linear oscillation, vel=2.25"
2021-02-03-16-12-22_seg_4,2021-02-03-16-12-22,4,oscillation_linear,2.25,,0,1397,1.08,"linear oscillation, vel=2.25"
2021-02-03-16-45-38_seg_1,2021-02-03-16-45-38,1,oscillation_linear,2.4,,0,15161,14.774,"linear oscillation, vel=2.4"
2021-02-03-16-45-38_seg_2,2021-02-03-16-45-38,2,oscillation_linear,2.4,,0,1636,1.059,"linear oscillation, vel=2.4"
2021-02-03-16-47-27_seg_1,2021-02-03-16-47-27,1,wobbly_circle,0.25,,0,11601,1.991,"wobbly circle 9 parts, delta=0.15, vel=0.25"
2021-02-03-16-47-27_seg_2,2021-02-03-16-47-27,2,wobbly_circle,0.25,,0,1483,1.055,"wobbly circle 9 parts, delta=0.15, vel=0.25"
2021-02-03-16-54-28_seg_1,2021-02-03-16-54-28,1,oscillation_linear,2.6,,0,977,1.232,"linear oscillation, vel=2.6"
2021-02-03-16-54-28_seg_2,2021-02-03-16-54-28,2,oscillation_linear,2.6,,0,2067,3.195,"linear oscillation, vel=2.6"
2021-02-03-16-54-28_seg_3,2021-02-03-16-54-28,3,oscillation_linear,2.6,,0,12605,15.925,"linear oscillation, vel=2.6"
2021-02-03-16-54-28_seg_4,2021-02-03-16-54-28,4,oscillation_linear,2.6,,0,1468,1.065,"linear oscillation, vel=2.6"
2021-02-03-16-55-55_seg_1,2021-02-03-16-55-55,1,wobbly_circle,0.5,,0,2190,3.124,"wobbly circle 9 parts, delta=0.15, vel=0.5"
2021-02-03-16-55-55_seg_2,2021-02-03-16-55-55,2,wobbly_circle,0.5,,0,12363,7.121,"wobbly circle 9 parts, delta=0.15, vel=0.5"
2021-02-03-16-55-55_seg_3,2021-02-03-16-55-55,3,wobbly_circle,0.5,,0,1530,1.095,"wobbly circle 9 parts, delta=0.15, vel=0.5"
2021-02-03-16-58-13_seg_1,2021-02-03-16-58-13,1,circle_3d,1.5,,0,3148,3.169,"3d circle, delta_z = 2, vel=1.5"
2021-02-03-16-58-13_seg_2,2021-02-03-16-58-13,2,circle_3d,1.5,,0,13443,7.18,"3d circle, delta_z = 2, vel=1.5"
2021-02-03-17-04-15_seg_1,2021-02-03-17-04-15,1,circle_3d,2,,0,924,1.235,"3d circle, delta_z = 4, vel=2"
2021-02-03-17-04-15_seg_2,2021-02-03-17-04-15,2,circle_3d,2,,0,2275,3.074,"3d circle, delta_z = 4, vel=2"
2021-02-03-17-04-15_seg_3,2021-02-03-17-04-15,3,circle_3d,2,,0,12925,9.386,"3d circle, delta_z = 4, vel=2"
2021-02-03-17-04-15_seg_4,2021-02-03-17-04-15,4,circle_3d,2,,0,2824,1.107,"3d circle, delta_z = 4, vel=2"
2021-02-03-17-06-36_seg_1,2021-02-03-17-06-36,1,circle_3d,2.5,,0,17208,11.964,"3d circle, delta_z = 4, vel=2.5"
2021-02-03-17-14-47_seg_1,2021-02-03-17-14-47,1,circle_3d,2.9,,0,13008,14.021,"3d circle, delta_z = 4, vel=2.9"
2021-02-03-17-14-47_seg_2,2021-02-03-17-14-47,2,circle_3d,2.9,,0,2924,1.138,"3d circle, delta_z = 4, vel=2.9"
2021-02-03-17-26-08_seg_1,2021-02-03-17-26-08,1,lemniscate,,,0,32462,12.125,lemniscate
2021-02-03-17-26-08_seg_2,2021-02-03-17-26-08,2,lemniscate,,,0,1424,1.084,lemniscate
2021-02-03-17-33-11_seg_1,2021-02-03-17-33-11,1,circle,2.75,,0,12979,12.726,"circle, vel=2.75"
2021-02-03-17-33-11_seg_2,2021-02-03-17-33-11,2,circle,2.75,,0,1443,1.083,"circle, vel=2.75"
2021-02-03-17-37-27_seg_1,2021-02-03-17-37-27,1,circle,3.0,,0,1024,1.236,"circle, vel=3.0"
2021-02-03-17-37-27_seg_2,2021-02-03-17-37-27,2,circle,3.0,,0,1965,1.887,"circle, vel=3.0"
2021-02-03-17-37-27_seg_3,2021-02-03-17-37-27,3,circle,3.0,,0,14702,13.472,"circle, vel=3.0"
